회사명,시가총액,주식수,액면가,업종명,회사코드,현재가,전날종가,고가,저가,시가,PER,추정PER,PBR,동일업종PER,17.12매출액(억원),18.12매출액(억원),19.12매출액(억원),20예상매출액(억원),19.2Q매출액(억원),19.3Q매출액(억원),19.4Q매출액(억원),20.1Q매출액(억원),20.2Q매출액(억원),20.3Q예상매출액(억원),17.12영업이익(억원),18.12영업이익(억원),19.12영업이익(억원),20예상영업이익(억원),19.2Q영업이익(억원),19.2영업이익(억원),19.4Q영업이익(억원),20.1Q영업이익(억원),20.2Q영업이익(억원),20.3Q예상영업이익(억원),17.12당기순이익(억원),18.12당기순이익(억원),19.12당기순이익(억원),20예상당기순이익(억원),19.2Q당기순이익(억원),19.3Q당기순이익(억원),19.4Q당기순이익(억원),20.1Q당기순이익(억원),20.2Q당기순이익(억원),20.3Q예상당기순이익(억원),17.12영업이익률(%),18.12영업이익률(%),19.12영업이익률(%),20예상영업이익률(%),19.2Q영업이익률(%),19.3Q영업이익률(%),19.4Q영업이익률(%),20.1Q영업이익률(%),20.2Q영업이익률(%),20.3Q예상영업이익률(%),17.12ROE(%),18.12ROE(%),19.12ROE(%),20예상ROE(%),19.2QROE(%),19.3QROE(%),19.3QROE(%),19.4QROE(%),20.2QROE(%),20.3Q예상ROE(%),17.12부채비율(%),18.12부채비율(%),19.12부채비율(%),20예상부채비율(%),19.2Q부채비율(%),19.3Q부채비율(%),19.4Q부채비율(%),20.1Q부채비율(%),20.2Q부채비율(%),20.3Q예상부채비율(%),17.12EPS(원),18.12EPS(원),19.12EPS(원),20예상EPS(원),19.2QEPS(원),19.3QEPS(원),19.4QEPS(원),20.1QEPS(원),20.2QEPS(원),20.3Q예상EPS(원),17.12PER(배),18.12PER(배),19.12PER(배),20예상PER(배),19.2QPER(배),19.3QPER(배),19.4QPER(배),20.1QPER(배),20.2QPER(배),20.3Q예상PER(배),17.12BPS(원),18.12BPS(원),19.12BPS(원),20예상BPS(원),19.2QBPS(원),19.3QBPS(원),19.4QBPS(원),20.1QBPS(원),20.2QBPS(원),20.3Q예상BPS(원),17.12PBR(배),18.12PBR(배),19.12PBR(배),20예상PBR(배),19.2QPBR(배),19.3QPBR(배),19.4QPBR(배),20.1QPBR(배),20.2QPBR(배),20.3Q예상PBR(배),종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,기관,기관,기관,기관,기관,기관,기관,기관,기관,기관,기관,기관,기관,기관,기관,기관,기관,기관,기관,기관,외국인,외국인,외국인,외국인,외국인,외국인,외국인,외국인,외국인,외국인,외국인,외국인,외국인,외국인,외국인,외국인,외국인,외국인,외국인,외국인
대성홀딩스,,"16,089,459","1,000",가스유틸리티,'016710,"16,150","15,950","16,150","16,000","15,700",21.33,,0.6,11.4,"9,031","9,098","9,186",,"1,640","1,320","2,846","3,434","1,686",,245,184,239,,-50,-79,170,171,6,,322,238,179,,8,-115,75,196,12,,2.72,2.03,2.6,,-3.07,-5.98,5.97,4.98,0.34,,5.34,4.79,3.24,,4.68,4.15,3.24,2.9,2.84,,112.27,109.78,110.41,,79.52,81.47,110.41,109.78,86.25,,"1,309","1,214",837,,73,-566,274,992,57,,6.06,5.24,9.96,,6.52,7.29,9.96,11.47,17.76,,"24,992","25,660","26,020",,"26,566","26,010","26,020","26,761","26,820",,0.32,0.25,0.32,,0.3,0.3,0.32,0.33,0.5,,"16,150","15,950","15,850","15,500","15,500","15,400","15,250","15,400","14,950","14,600","14,350","14,250","14,150","14,250","14,250","14,150","14,300","14,150","14,300","14,250","52,153","75,293","85,794","47,917","282,614","42,843","58,775","42,834","61,749","36,407","130,157","18,035","22,177","323,205","313,973","254,381","100,400","121,865","39,142","88,299",-136,-37,-285,"-1,502",-144,"5,748",-210,167,197,-36,"-15,082",-94,"-7,852","-22,646","-61,283","-20,036","-23,188","-15,363","-3,447","-18,603","1,352","-8,099","-2,459","-7,987","18,169","-10,115","-9,846","-4,997","5,985","8,342","33,499","3,249","6,106","-11,016","-4,192","37,087",-917,"-7,841","-2,003","-6,825"
대우조선해양,,"107,205,752","5,000",조선,'042660,"22,650","22,150","22,700","22,150","22,150",N/A,6,0.6,-17.45,"111,018","96,444","83,587","77,892","21,504","19,475","21,887","19,581","19,658","19,174","7,330","10,248","2,928","4,699","1,948","-2,563","1,546","2,790",734,576,"6,458","3,201",-465,"3,814","1,453","-2,964",-906,"2,425",515,,6.6,10.63,3.5,6.03,9.06,-13.16,7.06,14.25,3.73,3,28.12,9.53,-1.22,9.65,5.61,6.76,-1.22,0.02,-2.26,,282.75,210.36,200.3,,184.09,200.35,200.3,181.17,175.76,,"7,447","3,219",-434,"3,557","1,356","-2,765",-845,"2,262",480,358,1.87,10.61,-64.23,6.23,15.34,12.83,-64.23,"1,681.46",-31.19,61.9,"31,821","35,826","35,030","38,659","39,072","36,293","35,030","37,306","37,785",,0.44,0.95,0.8,0.57,0.84,0.84,0.8,0.36,0.72,,"22,650","22,150","22,800","22,400","22,950","23,000","22,300","22,300","22,100","23,550","23,500","25,650","25,000","25,500","25,650","23,600","23,400","23,900","24,000","23,250","159,380","402,235","250,941","264,077","239,765","276,845","174,810","255,789","502,721","271,935","704,736","761,267","596,229","606,433","1,219,173","295,664","204,543","295,741","281,372","186,164","-1,270","1,400","3,221","-28,091","-22,959","-11,356","-4,531",-641,"-20,596",185,"37,402","25,919","24,308","1,716","14,966",-365,"-20,219","1,454","-8,817","10,807","8,261","-160,522","-21,155","-28,041","-1,898","7,044","6,288","24,116","15,437","-20,312","-74,179","14,093","-83,999","38,241","177,329","24,225","-7,880","38,109","42,617","22,904"
대호에이엘,,"27,134,839",500,비철금속,'069460,"1,820","1,830","1,845","1,805","1,770",N/A,,2.04,19.25,"1,263","1,324","1,175",,290,286,304,282,252,,17,22,-9,,9,1,-16,1,3,,49,8,-35,,1,-15,-6,-30,7,,1.37,1.66,-0.81,,3.14,0.41,-5.36,0.22,1.35,,19.82,2.72,-12.62,,3.14,-5.05,-12.62,-19.66,-16.91,,227.88,203.41,206.93,,232.02,246.1,206.93,303.22,282.16,,180,28,-129,,4,-57,-23,-111,27,,6.46,192.77,-21.82,,154.08,-92.91,-21.82,-10.4,-12.37,,"1,016","1,080",974,,"1,047",955,974,856,890,,1.14,5.02,2.89,,4.77,4.88,2.89,2.27,2.27,,"1,820","1,830","1,820","1,870","1,895","1,930","1,890","1,945","1,825","1,920","1,940","2,095","2,120","2,085","2,170","2,165","2,230","2,225","2,185","2,195","194,059","216,292","225,280","241,625","189,662","140,583","207,376","566,340","313,655","214,307","372,900","108,412","168,959","216,602","160,450","388,427","138,434","158,887","139,155","91,773",-13,-36,"-1,126",216,-38,-13,-10,-7,-8,8,-16,-22,-349,-23,-41,2,"4,278",-124,-92,-176,"-14,425","21,877","-52,090","-21,964","16,321","42,733","24,231","-39,933","1,867","19,823","-52,683","-38,229","42,668","-66,540","30,595","-80,950","-27,130","29,225","12,523","9,555"
덴티움,,"11,068,830",500,건강관리장비와용품,'145720,"37,200","37,450","37,550","37,450","36,700",161.04,17,1.48,129.92,"1,506","1,863","2,526","2,291",689,638,666,408,515,640,411,420,447,353,155,109,77,32,66,113,303,343,137,244,89,109,-153,33,28,102,27.27,22.52,17.68,15.4,22.46,17.15,11.5,7.86,12.88,17.63,26.05,19.25,7.37,11.44,16.25,17.59,7.37,4.32,1.2,,91.35,124.32,164.9,,152.05,143.06,164.9,160.12,149.19,,"2,716","3,095","1,336","2,229",829,"1,003","-1,326",302,252,743,22.94,18.58,40.28,16.8,25.51,20.11,40.28,42.26,162.76,50.4,"18,768","22,506","23,996","26,036","24,453","26,014","23,996","24,534","25,063",,3.32,2.55,2.24,1.44,3.01,2.53,2.24,1.39,1.5,,"37,200","37,450","36,950","37,050","38,800","38,900","38,300","38,550","38,350","41,300","41,200","43,400","43,900","44,200","43,800","45,000","44,000","44,800","43,450","43,900","37,023","38,960","63,764","102,823","20,115","28,600","40,202","34,431","73,707","59,845","62,668","48,255","98,622","80,392","113,717","62,001","67,173","123,954","92,204","137,586","-3,704","-3,481","-23,436","-15,310",-937,"-7,555","-5,467",260,"-11,437","-3,478","-2,858","-7,108","-15,168","2,617","9,973","17,617","6,464","-11,751","12,651","25,088","-13,839","2,440","-2,509","-24,058","-5,221","-2,845","-13,399","-14,013","-13,258","-2,489","21,500","7,241","31,937","11,739","-16,591","4,630","-3,958","2,348","-10,572","-35,581"
동원F&B;,,"3,859,124","5,000",식품,'049770,"178,500","177,000","180,500","180,500","176,500",10.71,10,0.98,24.96,"25,526","28,025","30,303","31,975","7,092","8,250","7,479","7,836","7,572","8,726",724,872,"1,014","1,068",144,355,166,365,165,378,514,567,657,697,84,235,87,239,82,273,2.83,3.11,3.35,3.34,2.04,4.3,2.22,4.66,2.18,4.33,8.97,9.26,10,9.81,10.82,9.95,10,9.64,9.48,,130.79,121.92,130.99,,137.37,138.37,130.99,130.47,131.55,,"13,313","14,699","17,015","18,074","2,174","6,100","2,263","6,185","2,117","6,836",17.58,19.56,13.28,9.79,15.92,13.66,13.28,9.96,10.74,25.89,"153,682","163,896","176,519","191,857","169,475","175,579","176,519","179,696","182,022",,1.52,1.75,1.28,0.92,1.66,1.31,1.28,0.93,0.98,,"178,500","177,000","177,500","176,000","178,500","179,500","178,500","174,500","172,500","180,500","179,000","183,500","184,000","187,500","185,000","181,000","183,000","185,000","185,000","186,500","3,898","11,681","4,336","5,002","4,459","4,349","4,450","7,444","13,309","5,777","12,650","7,307","12,681","9,572","10,542","10,940","6,988","6,364","5,703","8,105",-800,"-2,546",906,-95,-581,-598,456,"-1,873","-2,625",-366,150,"-1,599","-4,478",-629,"-1,351","-4,365","-2,897","-2,336",-856,897,-574,305,-421,-672,-865,383,-399,598,"-1,934",543,"-3,493","1,053","-1,344",696,"3,216",353,-16,-397,-79,"1,876"
롯데제과,,"6,416,717",500,식품,'280360,"101,000","100,000","101,000","99,100","99,100",19.8,,0.53,24.96,"4,048","16,945","20,930",,"5,457","5,402","5,153","5,018","4,970",,84,644,973,,274,386,162,184,255,,19,84,416,,152,271,-97,1,172,,2.08,3.8,4.65,,5.02,7.14,3.15,3.66,5.12,,,0.94,3.19,,1.78,3.12,3.19,2.5,2.7,,130.54,102.13,108.81,,108.07,105,108.81,112.68,110.02,,"2,170","2,187","5,932",,"2,355","3,942","-1,662",-15,"2,837",,67.27,69.06,25.2,,51.13,26.9,25.2,22.83,20.68,,"196,156","183,215","188,635",,"188,586","194,776","188,635","184,521","189,564",,0.74,0.82,0.79,,0.91,0.75,0.79,0.57,0.56,,"101,000","100,000","101,500","102,000","101,500","103,000","101,500","102,000","101,500","106,000","106,500","110,000","110,500","110,000","108,000","107,000","107,500","110,500","110,500","112,500","6,081","10,682","7,285","7,592","5,742","12,342","15,011","8,958","25,120","11,723","13,457","9,902","13,011","17,510","21,741","13,744","7,840","7,472","7,228","6,829",-843,-381,-487,-141,-45,"-4,788","-9,402","-2,876","-4,698","-2,942","-1,024","-3,008","-3,024","-3,776","-8,274","-4,214","-1,018","-1,520","-1,679",-185,"1,246","-1,847",-9,737,521,"3,362",485,150,-774,"1,419",-768,99,860,"2,914",-168,-862,-734,-703,-407,-147
만호제강 1Q,,"4,150,000","1,000",철강,'001080,"15,750","15,100","16,700","15,250","15,200",32.41,,0.21,19.11,"2,142","2,152","2,092",,504,529,489,502,488,,29,20,-14,,-8,2,-2,-4,2,,42,27,11,,1,9,6,-5,11,,1.35,0.92,-0.65,,-1.61,0.4,-0.5,-0.82,0.38,,1.84,1.17,0.46,,0.27,0.46,0.72,0.45,0.88,,9.03,9.53,8.19,,8.78,8.19,8.27,7.44,7.93,,"1,007",644,257,,23,207,153,-132,258,,19.36,30.5,75.47,,117.93,75.47,43.1,62.75,22.96,,"73,027","74,282","74,339",,"74,293","74,339","74,244","74,271","75,855",,0.27,0.26,0.26,,0.23,0.26,0.23,0.21,0.15,,"15,750","15,100","15,100","15,050","15,100","15,700","15,700","15,000","15,600","16,050","15,600","18,000","18,650","18,700","18,700","16,800","16,800","16,550","16,450","15,400","19,013","14,497","15,443","10,835","19,260","5,714","4,408","23,406","14,845","8,181","31,814","30,001","14,570","33,203","37,764","7,876","6,236","6,964","40,767","6,159",-151,-9,-293,-94,-72,36,674,"2,635","2,988",-113,-5,"-4,690",-584,8,"-3,558",-219,-106,-42,-147,-102,"1,653","2,841","3,267","3,758","5,388","1,948",93,"8,984","3,464","3,900","3,999",-238,-970,674,247,341,-150,-203,147,"1,481"
모나미,,"18,897,307","1,000",문구류,'005360,"6,870","6,610","7,550","6,710","6,570",N/A,,1.87,3.85,"1,377","1,352","1,320",,312,315,356,335,287,,76,69,18,,-1,-5,7,4,-6,,29,8,-17,,-7,-13,-5,-3,-21,,5.52,5.12,1.39,,-0.34,-1.61,2.02,1.22,-2.03,,3.69,0.83,-2.39,,-2.33,-2.95,-2.39,-4.04,-5.95,,122.65,129.1,140.37,,142.82,136.29,140.37,149.45,147.78,,143,32,-92,,-40,-67,-30,-16,-109,,19.99,81.52,-39.86,,-28.83,-39.09,-39.86,-17.56,-24.25,,"3,949","3,953","3,873",,"3,931","3,922","3,873","3,771","3,682",,0.72,0.66,0.95,,0.66,1.15,0.95,0.71,1.46,,"6,870","6,610","7,250","6,450","6,730","6,840","6,700","6,840","7,010","7,110","6,950","7,320","7,910","7,900","8,360","8,280","8,290","8,470","8,680","8,990","13,175,241","3,926,553","24,813,955","1,261,404","1,953,838","1,248,174","3,432,619","1,446,199","2,784,950","2,290,830","2,467,929","2,588,457","1,678,064","2,266,341","1,917,599","2,720,119","5,458,683","3,364,064","5,525,311","19,003,737","37,992","-17,550","6,483",123,-11,-16,"5,550",73,"-11,412","3,584","12,884","-1,655","1,080","-4,019",295,"3,293",458,-136,-182,-378,"-107,710","-290,890","-291,756","144,571","-412,813","266,519","76,930","43,870","-266,165","-270,603","455,846","152,217","69,007","-34,321","-31,311","28,186","42,847","162,858","106,365","138,694"
문배철강,,"20,503,505",500,철강,'008420,"2,620","2,585","2,620","2,620","2,560",18.32,,0.45,19.11,"1,560","1,594","1,626",,418,419,402,381,369,,65,33,26,,8,6,4,4,4,,101,50,24,,13,6,-5,4,25,,4.15,2.06,1.6,,1.96,1.46,1.12,1.07,1.05,,10.48,4.7,2.14,,4.55,3.66,2.14,1.53,2.61,,54.96,37.94,75.36,,55.05,79.52,75.36,80.6,78.81,,494,243,116,,63,27,-27,20,123,,5.74,11.9,22.13,,13.16,13.97,22.13,19.28,17.97,,"5,600","5,614","5,682",,"5,684","5,712","5,682","5,668","5,780",,0.51,0.51,0.45,,0.56,0.48,0.45,0.28,0.44,,"2,620","2,585","2,565","2,550","2,615","2,625","2,550","2,510","2,510","2,690","2,615","2,895","3,005","2,825","2,930","2,790","2,745","2,750","2,740","2,810","132,525","226,283","175,124","185,701","154,313","172,717","145,528","309,844","619,149","342,013","839,037","934,770","2,201,613","783,037","1,872,610","254,052","296,039","347,973","425,335","500,989",-14,-30,"-2,161",172,-3,-19,-21,72,-18,-19,-36,-30,-269,-55,-223,-123,"3,573",-101,-103,-277,"57,128","69,610","55,426","-25,132","17,287","21,331","26,860","3,088","-8,897","23,962","-20,537","-81,396","29,360","-85,069","-36,660","64,896","-4,316","75,802","-107,155","164,308"
미창석유,,"1,739,672","5,000",석유와가스,'003650,"59,800","59,900","59,900","59,900","59,600",5.47,,0.34,-11.29,"3,132","3,163","3,237",,764,731,964,792,592,,136,126,175,,45,36,51,51,56,,125,94,177,,45,35,40,12,103,,4.34,3.98,5.4,,5.85,4.91,5.27,6.44,9.44,,5.07,3.86,,,5.83,,,,,,13.28,13.33,14.51,,15.24,16.62,14.51,15.32,9.75,,"7,171","5,428","10,189",,"2,578","2,026","2,293",718,"5,894",,11.97,14.09,7.79,,9.22,,,,5.22,,"149,413","151,975","168,403",,"163,836","166,345","168,403","167,589","174,669",,0.57,0.5,0.47,,0.47,0.46,0.47,0.3,0.33,,"59,800","59,900","59,500","59,000","59,100","59,200","59,200","58,500","58,700","58,700","59,400","59,400","59,300","59,700","59,100","59,000","58,700","58,600","58,400","58,000",387,467,444,"1,574",535,668,484,"1,202","2,446",502,"1,758",716,832,379,796,995,"1,022",791,850,"1,883",-12,-2,160,"1,263",-256,290,80,696,-7,-233,462,258,-9,-15,-242,-156,-72,-74,-116,319,0,0,0,0,0,0,0,-338,0,0,0,-423,0,0,11,153,160,-288,165,-433
백광산업,,"44,918,407",500,화학,'001340,"3,445","3,405","3,445","3,410","3,325",12.95,,0.86,77.78,"1,450","1,755","1,684",,400,420,433,436,404,,90,275,212,,56,48,27,41,49,,63,223,160,,39,30,24,25,40,,6.24,15.66,12.59,,13.88,11.39,6.2,9.29,12.15,,5.06,15.71,,,,,,,7.12,,115.05,93.42,96.51,,82.5,84.28,96.51,91.3,85.42,,141,497,357,,86,68,53,56,88,,18.75,5.01,6.89,,,,,8.71,9.79,,"3,107","3,583","3,895",,"3,778","3,849","3,895","3,925","4,016",,0.85,0.69,0.63,,0.78,0.68,0.63,0.58,0.65,,"3,445","3,405","3,420","3,415","3,495","3,600","3,485","3,525","3,640","3,520","3,480","3,700","3,670","3,535","3,790","4,080","3,755","3,785","3,760","3,760","1,629,760","1,332,961","1,480,874","1,877,089","2,071,624","1,738,479","1,331,461","1,738,752","7,551,055","1,255,749","2,291,162","1,750,234","2,402,174","3,537,468","7,302,514","42,570,419","1,467,293","2,501,518","2,202,996","3,016,675","-67,494","-4,520",-934,288,"7,321","12,540","-3,958","1,114","-1,383","30,567","-100,219","11,394","-72,330","-2,217","-43,674","-4,066","-5,959","-8,024","-6,068","-53,986","-198,545","168,112","142,128","240,838","-139,357","340,965","54,543","-33,627","137,327","215,261","49,529","-4,167","133,656","-82,885","87,513","-385,912","164,958","-8,535","189,553","-114,627"
벽산,,"68,560,000",500,건축자재,'007210,"2,250","2,485","2,480","2,445","2,200",N/A,,0.57,-80.24,"4,147","4,324","4,335",,"1,091","1,061","1,169","1,015","1,110",,216,99,-38,,-6,-30,-4,4,36,,134,84,-17,,-2,-26,-1,-2,24,,5.22,2.29,-0.88,,-0.54,-2.81,-0.32,0.43,3.28,,4.74,3.37,-1.18,,1.31,0.73,-1.18,-1.86,-1.08,,54.76,60.48,58.71,,65.32,60.2,58.71,57.24,60.09,,158,115,-40,,-9,-39,-5,-11,18,,25.37,21.23,-47.63,,51.73,82.66,-47.63,-17.81,-45.16,,"3,997","4,078","3,992",,"4,068","4,022","3,992","3,914","3,971",,1,0.6,0.48,,0.57,0.51,0.48,0.29,0.42,,"2,250","2,485","2,370","2,415","2,065","1,850","1,785","1,750","1,740","1,870","1,850","1,940","1,860","1,825","1,850","1,890","1,810","1,770","1,765","1,785","4,914,916","4,626,553","8,661,847","22,184,569","18,432,444","589,324","342,904","429,399","1,102,649","849,011","1,909,816","6,720,166","684,262","564,442","722,683","1,289,795","517,640","409,091","272,251","339,586","-51,259","-18,765","-13,212","-12,407","31,479",-36,-23,909,50,"-32,046","-31,238","19,522","-1,435",-531,"-7,842",-230,"-1,612","-74,460",-631,"-1,098","383,868","198,309","58,844","-257,522","-454,729","136,176","38,633","6,249","-67,009","13,348","-89,425","18,801","187,612","-23,591","-27,636","115,008","18,601","93,475","-7,384","45,833"
부광약품,,"64,837,978",500,제약,'003000,"37,100","37,800","38,750","38,200","36,900",862.79,,8.05,132.15,"1,507","1,942","1,682",,412,397,514,378,420,,77,351,95,,38,-21,61,8,10,,111,"1,457",-74,,-124,-35,58,-9,14,,5.09,18.09,5.67,,9.33,-5.24,11.91,2,2.47,,5.21,46.64,-2,,45.34,-4.58,-2,-3.2,0.92,,11.8,19.39,19,,23.67,17.72,19,46.75,48.14,,166,"2,185",-111,,-186,-52,87,-14,22,,104.49,10.86,-129.06,,8.59,-50.59,-129.06,-152.29,793.87,,"3,243","6,201","5,091",,"5,072","5,020","5,091","4,592","4,608",,5.36,3.83,2.82,,3.3,2.64,2.82,5.52,7.36,,"37,100","37,800","38,400","40,400","37,900","38,100","36,900","36,000","37,500","35,600","35,050","35,450","37,000","38,200","38,150","38,150","37,700","38,700","38,750","37,550","2,647,831","3,223,635","12,458,415","6,988,757","3,582,799","3,917,585","1,462,550","1,897,692","4,222,952","1,355,890","2,182,264","1,948,915","2,554,540","11,700,499","1,829,720","2,832,876","2,018,822","2,817,078","5,214,990","5,315,744","-138,771","2,329","37,846","39,963","12,027","38,649",-872,"4,122","60,253","-87,256","-50,971","-4,453","-24,096","-12,571","49,868","-16,026","-18,132","37,586","45,347","55,489","24,080","73,839","-507,944","177,208","-163,466","-27,075","175,362","-258,249","99,287","189,863","104,604","73,433","34,507","-460,834","6,838","123,456","-81,285","-21,904","1,987","-193,274"
부국철강,,"20,000,000",500,철강,'026940,"5,180","5,070","5,270","5,130","5,010",215.83,,0.94,19.11,"1,461","1,424","1,323",,354,302,341,333,312,,13,9,3,,5,4,-6,3,4,,23,21,18,,10,6,-1,5,-4,,0.89,0.65,0.24,,1.32,1.2,-1.9,0.8,1.17,,2.08,1.85,1.64,,1.74,2.06,1.64,1.73,0.44,,15.26,10.24,8.63,,9.96,11.24,8.63,15.55,9.95,,116,104,92,,49,28,-4,23,-22,,24.07,28.63,56.89,,38.56,33.57,56.89,41.81,182.55,,"5,626","5,615","5,627",,"5,604","5,610","5,627","5,518","5,528",,0.5,0.53,0.93,,0.67,0.69,0.93,0.72,0.8,,"5,180","5,070","5,260","5,180","5,470","5,540","5,500","5,270","4,790","5,130","4,770","5,230","5,790","5,830","5,630","5,410","5,480","5,470","5,600","5,700","272,857","554,483","683,303","449,291","584,326","527,964","572,081","1,336,212","551,497","935,776","821,326","1,716,320","847,590","960,030","1,036,477","452,037","606,368","422,813","733,449","872,438","3,657",-32,"-2,386",151,-7,-30,-134,71,-5,33,2,"3,932",-276,-112,"-16,092","-2,577","-2,258","-2,709","-2,804",-283,"27,611","-55,937","-2,338","20,772","40,343","8,098","22,515","-46,456","-11,587","2,526","2,515","-16,633","-9,470","-6,221","48,760","30,374","-44,571","12,823","-12,482","36,146"
부산가스,,"11,000,000","5,000",가스유틸리티,'015350,"49,900","50,900","51,400","50,900","49,750",3.04,,0.6,11.4,"9,352","9,518","9,728",,"1,918","1,505","2,750","3,584","1,899",,378,413,435,,99,12,55,243,58,,450,492,489,,157,-31,127,206,"1,505",,4.04,4.33,4.47,,5.17,0.81,1.98,6.78,3.04,,8,8.18,7.57,,8.13,6.63,7.57,6.89,24.24,,56.4,56.89,54.8,,39.36,36.93,54.8,56.35,37.04,,"4,092","4,476","4,448",,"1,428",-286,"1,157","1,870","13,683",,8.81,8.33,8.03,,7.97,9.16,8.03,7.34,2.19,,"58,086","62,349","66,967",,"66,367","66,243","66,967","68,610","82,680",,0.62,0.6,0.53,,0.57,0.54,0.53,0.45,0.44,,"49,900","50,900","48,500","48,450","49,250","49,300","49,650","46,200","43,350","43,350","42,500","44,700","47,900","54,100","41,900","38,250","36,500","36,500","36,400","36,350","5,411","22,414","4,147","13,657","11,639","13,999","48,175","32,308","14,465","19,010","35,692","36,013","117,049","237,953","196,629","27,480","2,571","4,456","1,840","2,601",-80,-412,-424,-105,"-4,066","-5,154","-4,680","-4,901","-4,497",387,746,"-2,871",59,"-16,959","-21,778","-1,698",-102,"-2,600",-619,"-1,343","-1,579","3,049",744,"1,762",-136,825,333,"2,667",-362,"1,586","1,515",838,233,-99,"-1,040",911,142,107,144,177
비비안,,"13,735,890",500,"섬유,의류,신발,호화품",'002070,"3,840","3,980","4,005","3,950","3,805",N/A,,0.66,23.84,"2,152","2,114","2,001",,544,540,438,350,621,,-15,-45,-5,,3,-13,-2,-29,24,,-17,-58,-24,,-33,32,-13,-27,-223,,-0.7,-2.14,-0.23,,0.63,-2.49,-0.39,-8.41,3.9,,-1.45,-5.3,-2.12,,-6.85,-4.43,-2.12,-3.52,-24.37,,32.25,34.92,31.56,,32.26,43.66,31.56,51.08,153.92,,-123,-426,-162,,-240,240,-86,-195,"-1,624",,-26.49,-6.06,-53.11,,-5.7,-23.41,-63.33,-15.77,-3.14,,"9,417","8,797","8,543",,"8,691","8,078","8,001","7,642","5,841",,0.35,0.29,1.01,,0.39,1.08,1.28,0.58,0.89,,"3,840","3,980","4,095","4,010","3,930","3,890","3,955","4,280",991,991,991,991,991,991,991,991,991,991,991,991,"680,306","334,183","2,058,036","445,190","298,775","363,354","575,561","1,894,380",0,0,0,0,0,0,0,0,0,0,0,0,-167,-251,-14,82,-704,0,-329,"-14,030",0,0,0,0,0,0,0,0,0,0,0,0,"-15,607","31,637","-7,538","20,434",29,270,"-5,189","5,761",0,0,0,0,0,0,0,0,0,0,0,0
비상교육,,"12,996,741",500,교육서비스,'100220,"7,220","7,400","7,420","7,420","7,100",N/A,,0.46,-30.28,"1,456","1,619","1,994",,308,364,885,373,292,,258,103,219,,-24,-3,221,-125,-86,,181,23,112,,-16,-10,124,-108,-79,,17.69,6.38,11,,-7.85,-0.9,24.94,-33.58,-29.34,,8.95,1.17,5.36,,6.88,5.85,5.36,-0.45,-3.63,,22.58,22.92,33.47,,18.94,19.89,33.47,31.28,25.48,,"1,391",188,868,,-124,-78,959,-827,-607,,8.55,33.05,8.95,,8.66,8.77,8.95,-124.42,-12.65,,"17,092","16,895","17,500",,"16,657","16,541","17,500","16,341","15,678",,0.7,0.37,0.44,,0.55,0.47,0.44,0.53,0.45,,"7,220","7,400","7,770","7,990","7,640","7,710","7,600","7,400","7,120","7,120","7,490","7,260","7,080","6,970","6,960","6,940","6,930","6,960","6,990","7,000","112,921","205,730","564,906","1,479,202","565,657","655,035","485,437","294,420","766,088","200,859","929,647","282,624","37,979","23,341","21,748","23,278","18,548","34,139","26,265","21,746",-127,-20,-2,-211,-212,54,"-24,080",8,"12,102",-538,-166,192,-340,-66,"-1,674","7,917",-318,"1,738","2,346",-145,"10,240","-13,659","-2,534","14,345","4,745","-21,651","-5,284","11,043","-20,100","15,507","-20,187",-483,"1,973",-195,"1,748",536,"-1,221","-13,696",517,862
사조산업,,"5,000,000","5,000",식품,'007160,"30,750","31,800","31,800","31,700","30,650",N/A,,0.38,24.96,"8,160","7,821","7,354",,"1,986","1,847","1,662","1,413","1,495",,591,543,182,,47,149,-179,2,111,,541,412,-144,,7,7,-292,-14,84,,7.25,6.94,2.48,,2.35,8.07,-10.74,0.13,7.43,,12.18,8.9,-3.13,,5.38,1.49,-3.13,-6.1,-4.28,,127.07,130.67,134.51,,132.6,132.06,134.51,144.41,134.85,,"8,750","7,123","-2,557",,-79,29,"-4,764",-202,"1,393",,7.81,7,-14.59,,11.54,34.2,-14.59,-4.71,-7.31,,"77,316","84,456","80,809",,"86,074","84,444","80,809","80,111","81,309",,0.88,0.59,0.46,,0.6,0.5,0.46,0.29,0.32,,"30,750","31,800","30,000","29,500","30,400","30,400","29,950","29,300","29,500","30,950","31,100","32,500","33,350","32,800","32,200","32,000","32,750","32,600","32,900","33,800","63,701","477,125","22,684","20,669","22,402","20,822","21,590","23,934","37,358","17,705","24,364","20,065","36,520","19,774","19,005","26,524","33,281","25,968","40,337","52,905","-2,041","-12,695","-1,094",197,-48,"-1,301",121,-116,161,-542,389,370,-33,-146,-502,564,-337,-480,323,-40,"10,519","-14,573","5,089","-3,895",-791,"1,760","-2,909",504,-439,956,-991,"-1,449","2,902","4,533","3,268","1,464","-1,595","-2,426","-4,081","11,419"
